t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
21.13,220.00323486328125,-212.11842346191406,-5.017882823944092,219.6525685594058,-212.21032948779694,-4.9918795601115855,0.363441527617843,0.6708303280824726,0.15673711352612885,0.00043881892293285254,12.996580540734863,17.113086830218833,nan,nan,False,True,True,True
21.14,220.00323486328125,-212.1096954345703,-5.017882823944092,219.6525642193363,-212.2011570100623,-4.995904519324453,0.36306771570905033,0.6710819610336188,0.1568810149938027,0.0003376285275906091,12.586273033082792,16.554887981559325,nan,nan,False,True,True,True
21.150000000000002,220.00323486328125,-212.10096740722656,-5.017882823944092,219.6365507381762,-212.18163513066233,-4.996132544222365,0.37608191112620754,0.6710028535742111,0.15694814620841624,0.0004388054230421519,11.74081307880887,16.3089842327992,nan,nan,False,True,True,True
21.16,220.00323486328125,-212.0922393798828,-5.017882823944092,219.63652794356028,-212.17239103661,-5.003678971039094,0.3756328027272138,0.6712536897143272,0.15709230219062076,0.0003376205128900621,10.98547018685965,15.548336313079401,nan,nan,False,True,True,True
21.17,220.00323486328125,-212.08352661132812,-5.017882823944092,219.63650516069217,-212.16314673066552,-5.0039148964918425,0.37553314256093195,0.6715049461661556,0.1572368120284619,0.0004388144045442745,10.567879304361963,15.273452871816607,nan,nan,False,True,True,True
21.18,220.00323486328125,-212.07479858398438,-5.017882823944092,219.63648232198662,-212.15390234466,-5.029389649217645,0.3753628091952794,0.6717566238976929,0.15738167668993883,0.00033762584869520063,10.262713621283911,14.807456260357062,nan,nan,False,True,True,True
21.19,220.00323486328125,-212.06607055664062,-5.017882823944092,219.63645963971547,-212.1446579401363,-5.029666694602824,0.3752850930614337,0.6720087238769421,0.15752689714305285,0.00043882345015238105,9.944320928542371,14.479508335830177,nan,nan,False,True,True,True
21.2,220.00323486328125,-212.05734252929688,-5.017882823944092,219.6516407181336,-212.14343829024202,-5.038664003111531,0.3625779645295954,0.6719290966057783,0.15759472510445716,0.0003376178639831476,10.723194858528302,15.0353724782753,nan,nan,False,True,True,True
21.21,220.00323486328125,-212.0486297607422,-5.017882823944092,219.65164966419795,-212.13422488619145,-5.038950589434292,0.36246727915478133,0.6721803959592957,0.15774019186460875,0.0004388099015751642,10.230102195518015,14.678101753535755,nan,nan,False,True,True,True
21.22,220.00323486328125,-212.03990173339844,-5.017882823944092,219.6516583612827,-212.125011478445,-5.040139197772835,0.3624155786323668,0.6724321160261243,0.15788601414657633,0.0003376231756504443,10.469906044136108,14.759766041142623,nan,nan,False,True,True,True
21.23,220.00323486328125,-212.0311737060547,-5.017882823944092,219.65166695848467,-212.1157982032801,-5.040428889453885,0.3623114989669566,0.6726842577742663,0.15803219291836137,0.00043881892218235825,9.953286631278395,14.230782219802855,nan,nan,False,True,True,True
21.240000000000002,220.00323486328125,-212.02244567871094,-5.017882823944092,219.65167544140948,-212.10658494966495,-5.043427257168935,0.36238924113757004,0.6729368221717201,0.15817872914796285,0.00033762852714771163,10.527262419899898,14.795819455255547,nan,nan,False,True,True,True
21.25,220.00323486328125,-212.01373291015625,-5.017882823944092,219.6267138085072,-212.0859219893117,-5.0437378581080905,0.3842497243058237,0.6728566705006622,0.15824720455885516,0.00043880542230759906,9.980108200522006,14.457549257053715,nan,nan,False,True,True,True
21.26,220.00323486328125,-212.0050048828125,-5.017882823944092,219.6266585492297,-212.07668752821837,-5.034734050326489,0.3837083342691883,0.6731084304478492,0.15839397874277591,0.0003376205124566028,9.111471339508446,13.42990269934685,nan,nan,False,True,True,True
21.27,220.00323486328125,-211.99627685546875,-5.017882823944092,219.6266032474981,-212.0674528591901,-5.035020858433899,0.3836809999717653,0.673360611503239,0.1585411100871567,0.0004388144038143146,8.7598757273715,13.070727882868196,nan,nan,False,True,True,True
