t,p_true_x,p_true_y,p_true_z,v_true_x,v_true_y,v_true_z,v_body_x,v_body_y,v_body_z,vW1_x,vW1_y,vW1_z,vW2_x,vW2_y,vW2_z,err_norm_W1,err_norm_W2,cos_W1,cos_W2
19.06,232.4304656982422,-232.8960723876953,-4.994628429412842,0.80108642578125,0.1617431640625,0.0,1.2052967548370361,0.08663059771060944,0.16487489640712738,1.1864253177862483,-0.22943432342745676,0.16487489640717315,1.1414185262644327,0.3967478939467273,0.1648748964071187,0.573314590670664,0.44523801853897427,0.9163237388303019,0.9817646350001832
19.07,232.43846130371094,-232.89442443847656,-4.994628429412842,0.799560546875,0.164794921875,0.0,1.0060352087020874,0.7808544635772705,0.14972321689128876,1.1743038780259005,0.49279907734226963,0.1497232168912464,0.7687326769098062,1.0153278288450034,0.14972321689136847,0.5200349333671089,0.8641606477280339,0.9745153844135762,0.7469980804729962
19.080000000000002,232.4464569091797,-232.8927459716797,-4.994628429412842,0.799560546875,0.1678466796875,0.0,0.3864816725254059,0.036637965589761734,0.17263005673885345,0.3827408886539204,-0.06496025055296104,0.17263005673886686,0.3637163332841826,0.13572343534486053,0.17263005673885248,0.5076798506314671,0.46988638822310486,0.8502215175372468,0.9034402632393146
19.09,232.4544677734375,-232.8910369873047,-4.994628429412842,0.80108642578125,0.1708984375,0.0,0.8427137732505798,0.8514845371246338,0.059035755693912506,1.03484182005469,0.6035684167379539,0.05903575569385024,0.5928217235385622,1.0410354606440715,0.05903575569400849,0.4953081018275865,0.8966592695648802,0.9487652918465578,0.6644513586079253
19.1,232.46246337890625,-232.88931274414062,-4.994628429412842,0.799560546875,0.17242431640625,0.0,0.616984486579895,0.21984794735908508,0.1784641146659851,0.65289828016089,0.05221894096808007,0.17846411466598633,0.5388035522643682,0.3724160497349264,0.17846411466600587,0.260400831383977,0.37395232832768777,0.9563585464462231,0.8914964253415881
19.11,232.470458984375,-232.88754272460938,-4.994628429412842,0.799560546875,0.177001953125,0.0,0.4169783890247345,-0.0693267285823822,-0.11630377918481827,0.38472001943388046,-0.17512192091991904,-0.1163037791847909,0.4206881367025598,0.04121495089899451,-0.11630377918483209,0.5564265045203121,0.4189379216734541,0.7704537119976049,0.9572129891722763
19.12,232.47845458984375,-232.88575744628906,-4.994628429412842,0.799560546875,0.17852783203125,0.0,0.5464854836463928,0.6764945387840271,0.2654247581958771,0.7032261156158777,0.511629023311695,0.2654247581958155,0.35235226664929914,0.7950717624001609,0.26542475819596234,0.4366772590160579,0.806580415234934,0.8774432389912239,0.5687562774070068
19.13,232.48646545410156,-232.88394165039062,-4.994628429412842,0.80108642578125,0.18157958984375,0.0,0.816877007484436,-0.1077149510383606,0.2763250470161438,0.7610224124970016,-0.3158092254556963,0.27632504701619387,0.8168730672680409,0.1077449357409711,0.27632504701612154,0.570400114265354,0.28645471859330796,0.773699282008454,0.9441147719313004
19.14,232.4944610595703,-232.88209533691406,-4.994628429412842,0.799560546875,0.18463134765625,0.0,0.5213911533355713,-0.25605759024620056,-0.14562539756298065,0.43721389605853067,-0.3824372304781274,-0.14562539756292384,0.5699384952458375,-0.11217993492306132,-0.14562539756302065,0.6885264149476158,0.402529477772932,0.5676834656904203,0.8851723756880114
19.150000000000002,232.50245666503906,-232.88021850585938,-4.994628429412842,0.799560546875,0.18768310546875,0.0,0.6028198003768921,-0.23835960030555725,-0.1139092668890953,0.5204811065312587,-0.38640189580058876,-0.11390926688903662,0.6439915736436473,-0.07403958677794682,-0.11390926688913364,0.6484090096445224,0.32507813545721026,0.6357172917673348,0.9268653992183727
19.16,232.51046752929688,-232.87831115722656,-4.994628429412842,0.80108642578125,0.19073486328125,0.0,0.01753220148384571,1.0459355115890503,0.15893331170082092,0.28782787433181606,1.0057055140463078,0.15893331170067745,-0.2539599323086826,1.014787080626865,0.15893331170097197,0.9761512689191864,1.348126356169663,0.4847831499359744,-0.011349048643516973
19.17,232.51846313476562,-232.87637329101562,-4.994628429412842,0.799560546875,0.19378662109375,0.0,1.6253113746643066,0.27946802973747253,0.018541036173701286,1.6422482094714486,-0.15086531656927787,0.018541036173732792,1.4975358731515618,0.6907429578938293,0.018541036173733292,0.9106323214390873,0.8570174600316043,0.946180265292391,0.9811034623178826
19.18,232.52645874023438,-232.87440490722656,-4.994628429412842,0.799560546875,0.19683837890625,0.0,1.4602247476577759,0.6756415963172913,0.14664167165756226,1.585336354393385,0.274693363387059,0.14664167165752828,1.2356048534001165,1.0305476440729182,0.146641671657657,0.8031243976845625,0.9522129782481794,0.9934463383815486,0.8950893166710484
19.19,232.53445434570312,-232.87242126464844,-4.994628429412842,0.799560546875,0.1983642578125,0.0,0.4075978100299835,0.8202349543571472,0.08426383882761002,0.6059309105585019,0.6868544533155608,0.084263838827508,0.18150930075680458,0.8977614839969529,0.0842638388277331,0.5321799523625689,0.9371468494087504,0.8191955638296771,0.4265545093440188
19.2,232.54246520996094,-232.8704071044922,-4.994628429412842,0.80108642578125,0.201416015625,0.0,0.6659796833992004,0.6329227089881897,-0.019466865807771683,0.8070099981538323,0.43915259870879686,-0.019466865807837373,0.4796341967365452,0.7836269389153447,-0.019466865807675593,0.23860580569297266,0.665342057607047,0.968189564014607,0.7141021587333749
19.21,232.5504608154297,-232.86834716796875,-4.994628429412842,0.799560546875,0.20599365234375,0.0,0.45674261450767517,0.3308824896812439,0.03464178368449211,0.5267563351103063,0.20155593305020872,0.03464178368446124,0.35567515182136733,0.4377124822339696,0.03464178368454348,0.2750306973519958,0.5019242106578031,0.9917197054280676,0.8027970351133161
19.22,232.55845642089844,-232.86627197265625,-4.994628429412842,0.799560546875,0.20751953125,0.0,0.6372215151786804,0.7008776664733887,0.04450765252113342,0.7966978478080442,0.5123995868579367,0.044507652521051676,0.4344556212957099,0.8417417124264992,0.04450765252124547,0.30812493324361345,0.7331577680905298,0.9489380274697735,0.6664429719436697
19.23,232.56646728515625,-232.86416625976562,-4.994628429412842,0.80108642578125,0.2105712890625,0.0,0.7497031688690186,0.5345461368560791,-0.10580246150493622,0.8623403782838608,0.32274369878777215,-0.10580246150498925,0.5861768868707697,0.7100641382470225,-0.10580246150484868,0.1659182240179817,0.5539615303987023,0.9883915091687946,0.8064510985530222
19.240000000000002,232.574462890625,-232.86203002929688,-4.994628429412842,0.799560546875,0.213623046875,0.0,1.2518278360366821,0.013699088245630264,-0.06566770374774933,1.212914490443469,-0.30999851185145455,-0.0656677037476998,1.2058400382272745,0.33646759232635703,-0.06566770374774508,0.670338173418628,0.4294951161027504,0.8709106733064967,0.99856632419854
19.25,232.58245849609375,-232.85986328125,-4.994628429412842,0.799560546875,0.2166748046875,0.0,0.8743354678153992,1.294580340385437,0.04187527298927307,1.1788420223056557,1.0250522860744073,0.04187527298909682,0.5105810317546878,1.47638332175365,0.04187527298949392,0.8939139379751309,1.2931079794882228,0.8996477024593214,0.5624527723131654
19.26,232.5904541015625,-232.85768127441406,-4.994628429412842,0.799560546875,0.21820068359375,0.0,0.9141841530799866,0.3131403625011444,-0.0887751504778862,0.9640237081803488,0.06669180436771867,-0.08877515047790108,0.8024510354581516,0.538388189316747,-0.08877515047782948,0.24059114541738919,0.3322791312853169,0.9764789993353088,0.9438247460536258
