k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
548,0-3,10270139.488953857,-31.035859728605438,2,0-1-3,11.526978923628993,-1.6759330456991135,3
550,0-3,58170852.49213936,-34.50783021629163,2,0-1-3,11.517063544531062,-1.6753631308394978,3
552,1-3,22153541.10037958,-31.14718793924594,2,0-1-3,11.5057396334637,-1.6742895781146983,3
554,2-3,14369680.446026238,-31.019697581863227,2,0-1-3,11.493045145019972,-1.672716626648893,3
556,1-3,18088425.725571565,-30.744199073138073,2,0-1-3,11.47902042573346,-1.6706492490259865,3
558,2-3,13806185.67170265,-30.937203612168684,2,0-1-3,11.463708141953093,-1.6680931486983241,3
560,1-3,31330449.097120482,-31.84425701419404,2,0-1-3,11.447153211383151,-1.6650547593950655,3
562,0-1,47791985.83495577,-33.44100168454485,2,0-1-3,11.429402738207871,-1.6615412464922974,3
564,2-3,17895559.1287477,-31.45032267836598,2,0-1-3,11.410505951555557,-1.6575605102602884,3
566,2-3,19839503.731566776,-31.654121683243076,2,0-1-3,11.390514147100854,-1.6531211909095354,3
568,0-3,10940971.102951532,-31.187808141507652,2,0-1-3,11.369480631504704,-1.6482326753285443,3
570,2-3,15973748.737422418,-31.215001706472936,2,0-1-3,11.347460669373845,-1.6429051053917902,3
572,0-1,47802487.85668511,-33.42179235685387,2,0-1-3,11.324511432379413,-1.637149387702371,3
574,1-2,48035494.16369755,-34.46252619338914,2,0-1-3,11.300691950175523,-1.630977204618568,3
576,1-3,20512216.44730137,-30.992166962733133,2,0-1-3,11.276063062630772,-1.6244010263787434,3
578,,inf,-inf,0,0-1-3,11.250687372993026,-1.6174341241460857,3
580,0-1,33808935.80586926,-32.7096614204347,2,0-1-3,11.224629201398304,-1.6100905837373016,3
582,0-2,34898339.42722009,-34.464749999755924,2,0-1-3,11.19795453833131,-1.6023853198263738,3
584,0-3,14902587.067453953,-31.80668321165976,2,0-1-3,11.170730997339716,-1.594334090329271,3
586,1-3,27136566.585359648,-31.54016804367547,2,0-1-3,11.143027766526773,-1.5859535107081424,3
588,1-3,27136811.750361063,-31.53706982169257,2,0-1-3,11.114915558176852,-1.5772610678774663,3
590,,inf,-inf,0,0-1-3,11.086466555812308,-1.5682751333589477,3
592,1-3,20513814.01186519,-30.97050910448285,2,0-1-3,11.057754358111664,-1.55901497534314,3
594,2-3,16292850.326926472,-31.20131792156684,2,0-1-3,11.02885391889343,-1.5495007692421172,3
596,2-3,16288205.846924512,-31.195060007895716,2,0-1-3,10.999841482482624,-1.5397536063193273,3
598,0-1,47844549.327135846,-33.351379960156535,2,0-1-3,10.970794513690954,-1.529795499942491,3
