k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
56,2-3,17532785.260244664,-31.401829347048423,2,0-1-3,10.199252327727095,-1.3521592166744365,3
58,1-3,19486434.588390104,-30.827105479742436,2,0-1-3,10.191840501854758,-1.3506834945447923,3
60,1-3,38515729.58425708,-32.19002105003928,2,0-1-3,10.183489084354054,-1.3488303171607199,3
62,,inf,-inf,0,0-1-3,10.174223742869863,-1.3466041957994181,3
64,1-3,39618842.46759454,-32.246357051365926,2,0-1-3,10.164072102713956,-1.3440103387391225,3
66,0-3,27507815.891726848,-32.81751978430861,2,0-1-3,10.153063699309001,-1.3410546510767682,3
68,2-3,17440631.176087074,-31.380939305506327,2,0-1-3,10.141229930016117,-1.3377437350095018,3
70,2-3,21009842.98439529,-31.750948481970767,2,0-1-3,10.128604005368288,-1.3340848905315021,3
72,2-3,61145968.65834678,-33.88495167873153,2,0-1-3,10.115220899641256,-1.3300861164635647,3
74,0-3,20813170.49244892,-32.260795345304764,2,0-1-3,10.1011173006933,-1.3257561117268617,3
76,1-3,35244770.67346747,-32.00730664269515,2,0-1-3,10.086331558963021,-1.3211042767532062,3
78,1-3,31382227.32279903,-31.773636585783592,2,0-1-3,10.07090363550361,-1.316140714913347,3
80,1-3,90911654.18986052,-33.899221779517276,2,0-1-3,10.054875048894578,-1.3108762338269377,3
82,1-3,33740012.2690852,-31.9149201625553,2,0-1-3,10.038288820872442,-1.3053223464101098,3
84,2-3,29480647.352577128,-32.407216669437936,2,0-1-3,10.021189420461548,-1.29949127148973,3
86,1-3,34473059.31638457,-31.953571364846997,2,0-1-3,10.003622706420394,-1.2933959338169125,3
88,1-3,35139501.13406772,-31.98943130725802,2,0-1-3,9.985635867739402,-1.2870499632778496,3
90,2-3,24558532.89149042,-32.03057959862629,2,0-1-3,9.967277361965502,-1.28046769310592,3
92,,inf,-inf,0,0-1-3,9.948596851084126,-1.2736641568743252,3
94,,inf,-inf,0,0-1-3,9.929645134666835,-1.2666550840355173,3
96,1-2,189945264.75346902,-37.15935913762282,2,0-1-3,9.910474080011156,-1.2594568937690336,3
98,0-3,49744014.23997697,-33.98719690926201,2,0-1-3,9.891136548977395,-1.2520866868871088,3
100,0-3,27262922.213315863,-32.781925006731555,2,0-1-3,9.871686321213538,-1.2445622355344952,3
102,0-3,17794247.450954735,-31.9259131787198,2,0-1-3,9.852178013465625,-1.2369019704151727,3
104,2-3,21380324.771538205,-31.72332506132232,2,0-1-3,9.832666994670783,-1.229124965273964,3
106,1-2,134328422.64935315,-36.45542250584705,2,0-1-3,9.813209296537439,-1.2212509183585238,3
108,0-3,12275561.360565381,-31.17437143261379,2,0-1-3,9.79386151931247,-1.213300130584615,3
110,,inf,-inf,0,0-1-3,9.774680732472673,-1.2052934801378608,3
112,1-3,50026420.806546144,-32.65468045671862,2,0-1-3,9.755724370058317,-1.1972523932417531,3
114,2-3,20635135.016866606,-31.62901730428818,2,0-1-3,9.73705012042837,-1.1891988108446792,3
116,2-3,14368022.348308168,-30.90031111186423,2,0-1-3,9.718715810221733,-1.1811551509881921,3
118,0-3,11924405.442948114,-31.098819590663446,2,0-1-3,9.700779282346096,-1.173144266638932,3
120,0-3,15270811.742787331,-31.5897396745788,2,0-1-3,9.683298267850788,-1.1651893987925117,3
122,1-3,24607510.204768218,-31.21382200726265,2,0-1-3,9.666330251613008,-1.1573141246964829,3
124,2-3,18180250.048513725,-31.352264921449688,2,0-1-3,9.649932331779226,-1.1495423010640833,3
126,1-3,20417569.99220622,-30.83141092579107,2,0-1-3,9.63416107298753,-1.1418980022009886,3
128,1-2,190028509.9048191,-37.10173330518002,2,0-1-3,9.619072353475461,-1.1344054530204897,3
130,1-3,42747897.508018225,-32.30009557594611,2,0-1-3,9.604721206199105,-1.1270889569606015,3
132,1-2,134378589.33950356,-36.39726361807214,2,0-1-3,9.591161654247113,-1.11997281890189,3
134,1-3,62913997.92332983,-33.06386437505196,2,0-1-3,9.578446540830706,-1.1130812632231923,3
136,2-3,16805744.686118405,-31.168885606034454,2,0-1-3,9.566627354298111,-1.106438347225919,3
138,1-3,36832618.650896974,-31.984104985312094,2,0-1-3,9.555754048657393,-1.1000678702142395,3
140,1-2,134395055.0177906,-36.37289012838616,2,0-1-3,9.545874860247006,-1.0939932786132411,3
142,2-3,12999158.490871888,-30.643714305660765,2,0-1-3,9.537036121237168,-1.0882375675675506,3
144,2-3,24568812.84866636,-31.913381071844352,2,0-1-3,9.529282070793865,-1.0828231795588663,3
146,1-3,17904969.871419255,-30.52435756185252,2,0-1-3,9.522654664829787,-1.0777719006554514,3
148,1-3,26412296.251568735,-31.297830088499943,2,0-1-3,9.517193385366527,-1.0731047550841328,3
150,0-3,34821872.37446489,-33.17906393904104,2,0-1-3,9.512935050609286,-1.0688418988812654,3
152,0-3,22764879.72837757,-32.32544766961421,2,0-1-3,9.509913626998236,-1.065002513469365,3
154,0-3,17735732.125392474,-31.822728397742445,2,0-1-3,9.508160044507463,-1.061604700039355,3
156,0-1,134345676.8268411,-35.292431242261756,2,0-1-3,9.507702016592706,-1.0586653756872932,3
158,1-3,45390546.41322156,-32.362806252925154,2,0-1-3,9.508563866255988,-1.056200172292872,3
160,1-3,42686948.599007785,-32.23691292413438,2,0-1-3,9.510766359714422,-1.0542233391430216,3
162,,inf,-inf,0,0-1-3,9.514326549249363,-1.0527476503331905,3
164,2-3,28027545.461118508,-32.15290819674115,2,0-1-3,9.51925762679205,-1.0517843179611077,3
166,1-3,23463363.648854222,-31.032038748073923,2,0-1-3,9.525568789812207,-1.0513429121124775,3
168,,inf,-inf,0,0-1-3,9.533265121113198,-1.0514312886180859,3
170,2-3,32810814.872034594,-32.46563529701751,2,0-1-3,9.542347483984146,-1.0520555254712196,3
172,0-3,13792848.575589577,-31.296093905690732,2,0-1-3,9.552812434216976,-1.0532198687626515,3
174,1-3,76897323.0943241,-33.39873691271321,2,0-1-3,9.56465215032678,-1.0549266888747475,3
176,0-3,16728751.376190964,-31.67897871548767,2,0-1-3,9.57785438325553,-1.0571764475904324,3
178,1-3,46361599.39070618,-32.38458730405757,2,0-1-3,9.592402426650857,-1.0599676766370187,3
180,2-3,20234405.948045883,-31.50030411108383,2,0-1-3,9.608275108721736,-1.0632969680767603,3
182,2-3,141747339.28805026,-35.39473155369556,2,0-1-3,9.625446806448906,-1.0671589768016463,3
184,1-3,23174352.92210128,-30.996533540494408,2,0-1-3,9.64388748274078,-1.0715464352469763,3
186,0-2,78155892.57776934,-36.17634891335495,2,0-1-3,9.66356274693087,-1.0764501802923894,3
188,0-3,18545305.84515368,-31.881793629726122,2,0-1-3,9.68443393879401,-1.0818591921702332,3
190,2-3,30311797.691492252,-32.31677950800028,2,0-1-3,9.706458235967839,-1.0877606450338977,3
192,0-2,95792962.0608077,-36.624013244897014,2,0-1-3,9.729588784520354,-1.094139968724945,3
194,1-3,21951442.63506198,-30.891593710428758,2,0-1-3,9.753774852067746,-1.10098092111176,3
196,0-3,13755801.41234983,-31.287234213513,2,0-1-3,9.778962002687194,-1.108265670272722,3
198,1-3,46324047.45821254,-32.38853317048536,2,0-1-3,9.805092292565282,-1.1159748856638947,3
200,,inf,-inf,0,0-1-3,9.832104485148129,-1.1240878373295216,3
202,1-2,95109999.69162744,-35.535344877640426,2,0-1-3,9.859934284345126,-1.1325825021324025,3
204,1-2,95111987.25010522,-35.535017124461916,2,0-1-3,9.88851458412264,-1.1414356759131645,3
206,1-3,36205026.40651367,-31.905200344076157,2,0-1-3,9.91777573267859,-1.1506230904515986,3
208,1-3,26737913.856597036,-31.30195635928042,2,0-1-3,9.947645809223673,-1.160119534074572,3
210,2-3,12960001.451370414,-30.651220969788056,2,0-1-3,9.978050911331907,-1.169898974766895,3
212,2-3,14011148.4564158,-30.811563054987904,2,0-1-3,10.00891545063258,-1.1799346846246026,3
214,1-3,19663744.475504976,-30.697571926513987,2,0-1-3,10.040162454675682,-1.1901993645572881,3
216,2-3,13116087.058709988,-30.688658838156275,2,0-1-3,10.071713872696623,-1.2006652681688683,3
218,2-3,18596784.482757296,-31.39168243821822,2,0-1-3,10.103490883027249,-1.2113043238121906,3
220,0-2,48062724.89851305,-35.42719878042015,2,0-1-3,10.135414199957244,-1.2220882538935602,3
222,0-3,16022134.644186564,-31.629596817304286,2,0-1-3,10.167404377881347,-1.2329886905753202,3
224,0-3,33338618.78431374,-33.09947875254745,2,0-1-3,10.199382110658606,-1.2439772871173997,3
226,1-3,153553112.05206305,-34.83327985107437,2,0-1-3,10.231268524285573,-1.2550258242107977,3
228,2-3,22176303.51543302,-31.768457309642105,2,0-1-3,10.26298546099153,-1.2661063107198922,3
230,0-3,11423908.30738207,-30.971634206131277,2,0-1-3,10.294455753155235,-1.2771910783889622,3
232,2-3,35947535.23783416,-32.74465256201524,2,0-1-3,10.325603485542832,-1.288252870149245,3
234,0-1,95079673.58087015,-34.73263761614399,2,0-1-3,10.356354244506084,-1.2992649217499754,3
236,1-3,21934547.526547518,-30.96551411244585,2,0-1-3,10.386635353092917,-1.3102010365633863,3
238,,inf,-inf,0,0-1-3,10.416376091074513,-1.3210356534649192,3
240,0-3,25781380.767159108,-32.625787177944105,2,0-1-3,10.445507899175906,-1.331743907795528,3
242,2-3,26050979.02329923,-32.1255976296829,2,0-1-3,10.473964567001275,-1.3423016854928314,3
244,,inf,-inf,0,0-1-3,10.501682404216943,-1.352685670512988,3
246,0-3,15409532.297168145,-31.613272616170903,2,0-1-3,10.528600394892868,-1.362873385768272,3
248,0-3,12583559.545804711,-31.2137906012739,2,0-1-3,10.55466033498293,-1.3728432278339806,3
250,1-3,17970262.535347532,-30.602404033713828,2,0-1-3,10.579806953036787,-1.3825744957069404,3
252,2-3,11405312.76758062,-30.496839501645994,2,0-1-3,10.603988014547797,-1.3920474139815338,3
