k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
234,220.90042447287763,-212.89828891184942,-27.04,3.36201729249525,3.718950583964056,2,3.345251714196045,1.6247721116005827,0-1-3,3.0633813501770866,3.7397083788730496,2,3.3625163976141286,1.6367352366187382,1-3,2.577581520118684,3.893515159945205,2,3.505848116321265,1.693661502783178
236,221.55714432907905,-211.8511403829022,-27.233333333333334,3.356944366797787,3.72834638902227,2,3.353263544434286,1.6297823161709075,0-1-3,3.0583407437450214,3.7490974258125402,2,3.3705210626622484,1.6417427552404076,1-3,2.5726133396805677,3.90315079676756,2,3.5140574506774573,1.6988191121027238
238,222.1613453985954,-210.77053249027898,-27.426666666666666,3.3518692953809657,3.7377700663617364,2,3.361504765384299,1.6343839149014114,0-1-3,3.0532834842825456,3.7585414386340275,2,3.3787800867271685,1.6463532037400397,1-3,2.567592793103743,3.9129127967214115,2,3.5225936003408043,1.7035905850832198
240,222.71132199298967,-209.65910209754216,-27.62,3.346804911549083,3.7471976053775333,2,3.3699552424158807,1.6385638705466576,0-1-3,3.0482224588881763,3.768016381322585,2,3.38727330872654,1.6505535380302294,1-3,2.5625328563565137,3.9227764888666203,2,3.5314358697184436,1.7079625521862793
242,223.20550096120377,-208.51957306087405,-27.813333333333333,3.34176382371847,3.7566051733454744,2,3.3785943120229756,1.6423102335344493,0-1-3,3.0431703391153144,3.7774983793700745,2,3.395980031980075,1.6543317770435746,1-3,2.557446355611966,3.93271724747535,2,3.540562916586132,1.711922656630607
244,223.6424461279269,-207.3547495598474,-28.006666666666668,3.3367583863185786,3.7659691761917697,2,3.387400832868091,1.645612175912381,0-1-3,3.0381395510608447,3.786963780459997,2,3.404879075093065,1.6576770368528575,1-3,2.5523459349650484,3.9427105538137015,2,3.5499528037999872,1.7154595891324735
246,224.02086239599006,-206.1675092016884,-28.2,3.3318006735208607,3.7752663162003386,2,3.3963532376130225,1.648460021836263,0-1-3,3.03314224855772,3.7963892116142453,2,3.4139488231098145,1.6605795612520777,1-3,2.5472440273787758,3.952732054136839,2,3.559583050929503,1.7185631193925481
248,224.33959950122468,-204.96079591597788,-28.393333333333334,3.3269024557297824,3.7844736465947757,2,3.405429585427952,1.6508452745373705,0-1-3,3.0281902894000012,3.805751632752074,2,3.423167278844287,1.6630307487370397,1-3,2.5421528288023807,3.9627576138611866,2,3.569430685735658,1.7212241242625772
250,224.5976554090793,-203.73761265732443,-28.586666666666666,3.322075178762492,3.7935686229346928,2,3.414607615046963,1.6527606397109995,0-1-3,3.0232952145115535,3.815028386631529,2,3.4325121142868107,1.6650231758382994,1-3,2.537084275374827,3.9727633679172345,2,3.579472295428962,1.7234346125460063
252,224.794179343174,-202.50101393409227,-28.78,3.317329945596989,3.802529151345918,2,3.4238647982853374,1.6542000453083088,0-1-3,3.018468229925394,3.82419724521878,2,3.441960722028929,1.6665506167977615,1-3,2.5320500235951657,3.982725767336117,2,3.5896840776638896,1.725187746411797
254,224.9284744368862,-201.25409818176703,-28.973333333333333,3.3126775005797704,3.811333633578404,2,3.4331783938885723,1.6551586577070616,0-1-3,3.013720191447587,3.8332364525130833,2,3.451490266610241,1.667608059578106,1-3,2.5270614333325057,3.992621622131046,2,3.6000418912121774,1.7264778594079315
256,225.0,-200.0,-29.166666666666668,3.308128215947743,3.819961008952561,2,3.4425255016231224,1.6556328942710508,0-1-3,3.0090615918432406,3.8421247639229086,2,3.461077735732076,1.6681917182294692,1-3,2.522129553512987,4.002428140599385,2,3.6105213062968593,1.7273004710930489
258,225.00837339341467,-198.74188227277855,-29.36,3.3036920805289722,3.828390793237618,2,3.4518831164856505,1.6556204323056272,0-1-3,3.0045025503845055,3.8508414822862007,2,3.4706999912628587,1.6682990416421686,1-3,2.5172651103215555,4.012122965168614,2,3.6210976545498728,1.727652298307389
260,224.953371505891,-197.48292819153153,-29.553333333333335,3.2993786904599967,3.8366031145603015,2,3.4612281829413063,1.6551202144456547,0-1-3,3.0000528045816166,3.859366490668291,2,3.4803338199812037,1.6679287187372005,1-3,2.5124784977413936,4.021684204940191,2,3.6317460785693876,1.7275312631212465
262,224.8349318278164,-196.2263332012866,-29.746666666666666,3.2951972417648223,3.84457874643428,2,3.4705376490813546,1.6541324505138773,0-1-3,2.9957217039209176,3.867680282072257,2,3.4899559839910674,1.6670806801518265,1-3,2.5077797702417612,4.031090465113528,2,3.642441581066257,1.7269364975148171
264,224.65315311798764,-194.9752968902575,-29.939999999999998,3.291156524637713,3.8522991380140756,2,3.4797885205914945,1.6526586158985308,0-1-3,2.991518205422235,3.8757639862274593,2,3.499543270760521,1.665756096495679,1-3,2.5031786374219323,4.0403208734846485,2,3.6531590735901855,1.725868344851787
266,224.4082956604415,-193.73301484344566,-30.133333333333333,3.287264919260865,3.859746441707589,2,3.4889579144410208,1.650701446517134,0-1-3,2.9874508708328644,3.883599393622735,2,3.5090725427281915,1.6639573732574946,1-3,2.4986844604236573,4.049355104212619,2,3.663873424817121,1.7243283582112912
268,224.10078110940526,-192.50267048099562,-30.326666666666664,3.283530392994325,3.8669035382798307,2,3.4980231121950798,1.6482649304374963,0-1-3,2.9835278652721335,3.891168976968503,2,3.518520786431298,1.6616881424542287,1-3,2.4943062499087354,4.058173399088274,2,3.6745595084110696,1.7223192956631102
270,223.73119192148994,-191.2874269021482,-30.52,3.279960498786259,3.873754059570856,2,3.5069616128390932,1.645354296227628,0-1-3,2.979756957147935,3.8984559102696736,2,3.5278651611031213,1.6589532511169205,1-3,2.4900526654182027,4.066756586510315,2,3.6851922504432144,1.719845112560519
272,223.30027037530382,-190.09041875568204,-30.71333333333333,3.2765623746368187,3.8802824089913255,2,3.515751185038381,1.6419759981280915,0-1-3,2.976145519162508,3.905444085711919,2,3.5370830467043395,1.6557587467197492,1-3,2.48593201591605,4.075086098412606,2,3.6957466763843505,1.716910950943496
274,222.80891717972318,-188.91474415773234,-30.906666666666666,3.273342743969176,3.886473779932056,2,3.5243699187307977,1.6381376981331062,0-1-3,2.9727005302403082,3.9121181285463744,2,3.5461520913366544,1.6521118596541395,1-3,2.4819522613367413,4.083143985365322,2,3.7061979576673054,1.7135231261374035
276,222.25818967311412,-187.76345667781644,-31.099999999999998,3.270307916763576,3.8923141722314556,2,3.532796275957857,1.6338482450742302,0-1-3,2.9694285782100587,3.91846341017202,2,3.5550502580013443,1.648020982858383,1-3,2.4781210149578135,4.090912930080377,2,3.716521457824393,1.709689110636685
278,221.64929961685695,-186.63955741378464,-31.293333333333333,3.2674637913059392,3.897790406865331,2,3.541009140860875,1.6291176508132035,0-1-3,2.966335863081283,3.9244660596113587,2,3.5637558706650654,1.6434956487139796,1-3,2.4744455464196817,4.0983762595616575,2,3.7266927782168824,1.705417515368228
