k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
160,9.896742457794844,4.406313633321169,-5.25,2.7381967211562657,5.086569715662804,2,5.08624574836071,0.057407835532864375,0-1-3,2.331528257931126,5.398372506563811,2,5.397914089697231,0.07035054990650318,1-3,1.6483135728668716,6.2026282941047155,2,6.2021822252849,0.07438682133560193
170,7.806523740853346,8.67002296390293,-5.5,2.724412896384731,5.121740719446711,2,5.121482360375391,0.05144346024746745,0-1-3,2.31655990849468,5.438922421536586,2,5.438566660848724,0.06220757990922398,1-3,1.6312293739132873,6.255839941295533,2,6.255439292019457,0.07079996446061029
180,3.862712429686843,11.888206453689419,-5.75,2.712961411960581,5.151143225483208,2,5.150867782492212,0.05326928500844863,0-1-3,2.3028634806678108,5.476291933897892,2,5.475979962511744,0.05845336128056471,1-3,1.6135997102408601,6.311227672000685,2,6.310740514163305,0.07841486290909078
190,-1.393712843568711,13.260291938243645,-6.0,2.706315196843798,5.1682805684315065,2,5.16770152186795,0.07736287811586973,0-1-3,2.293189651504179,5.5028375932636076,2,5.502286134703072,0.0779029504546466,0-1,1.6014209290139592,6.349706056946489,2,6.348758540613627,0.10969048549645131
200,-7.0833333333333295,12.268693220279548,-6.25,2.7063063337821864,5.168292589581871,2,5.167020900306466,0.11464426423962963,0-1-3,2.2898301399606398,5.512079916372681,2,5.51088250662223,0.11488691258864252,0-1,1.6037623332478037,6.3422546498508305,2,6.3403692987095805,0.1546324659813217
210,-12.13525491562421,8.816778784387099,-6.5,2.7137866546784895,5.148985359761352,2,5.1467713232530805,0.15098073114301208,0-1-3,2.2942296606060104,5.49995688712332,2,5.497837493347164,0.15267172941120505,0-1,1.6132578660366599,6.312189295806284,2,6.30907583878002,0.19823159842375415
220,-15.487337011618587,3.2919351046145287,-6.75,2.7283734753564017,5.1115529704408145,2,5.108527001807857,0.17585687766574654,0-1-3,2.306649032178869,5.465896358827845,2,5.462966999777012,0.17892614340795326,0-1,1.629148033485182,6.2622087426589035,2,6.258053807074597,0.22808087248332795
230,-16.302460012230092,-3.4651948469626506,-7.0,2.7482993094810584,5.060862506758193,2,5.057589657683686,0.18197847895242195,0-1-3,2.325892941381715,5.413540660780866,2,5.4103641318917,0.18542504218016229,0-1,1.6493753078015383,6.19916295092837,2,6.19469132926624,0.2354158602911112
240,-14.157797401561586,-10.286241915118271,-7.25,2.770442531485231,5.005120955455186,2,5.002368547942339,0.1659659281114302,0-1-3,2.3491904333534164,5.350828940371296,2,5.348175964087309,0.16847612968546316,0-1,1.6706415468385825,6.133562455357856,2,6.129751418799348,0.21618496132447232
250,-9.166666666666675,-15.877132402714702,-7.5,2.790666606957849,4.954744959236433,2,4.953054004286099,0.12943585942189859,0-1-3,2.3723950928910553,5.289088627609654,2,5.28748663916154,0.13016739760007842,0-1,1.6887816926035417,6.078148385346538,2,6.075704230527264,0.1723539887668437
260,-2.003462212630039,-19.061669661225235,-7.75,2.8045670299893652,4.920409613663091,2,4.9197422850770645,0.0810346509393822,0-1-3,2.390667645415636,5.240969923312612,2,5.240338246677739,0.0813682829724066,0-1,1.6995686845904507,6.045421861133158,2,6.044344071326208,0.11415001747880707
270,6.180339887498945,-19.021130325903073,-8.0,2.8085542808928463,4.910593706276032,2,4.9103390694200115,0.050007713856912564,0-1-3,2.399624084896693,5.21753782062495,2,5.21720895029491,0.05858053101879285,1-3,1.7130141060275759,6.005106479886822,2,6.004678276873359,0.07171210514195009
