k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
410,2-3,23695655.144247375,-31.78760751793665,2,0-1-3,9.94160415814103,-1.1499989242019026,3
420,0-2,39960329.95609483,-34.67433263518698,2,0-1-3,9.990719531032266,-1.1488098395388273,3
430,0-3,18428379.45530715,-31.94508734004324,2,0-1-3,10.082894584116836,-1.1637924031574447,3
440,1-2,47863723.81864067,-34.14809648584062,2,0-1-3,10.21464543946877,-1.1945282942658269,3
450,1-3,44307543.07284751,-32.29746312266763,2,0-1-3,10.378917497463071,-1.2391122689071814,3
460,2-3,12569233.58496493,-30.565301742299805,2,0-1-3,10.565654594304782,-1.2943961983051522,3
470,0-2,24926992.534087263,-34.10166551668267,2,0-1-3,10.762833289934225,-1.3564236758762318,3
480,0-3,12762418.085966943,-31.269794663194393,2,0-1-3,10.957763569105381,-1.4209385755063058,3
490,0-3,10416362.309604932,-30.89344415265012,2,0-1-3,11.138389512053532,-1.4838475059916094,3
500,0-2,35335861.57592303,-34.90786696672629,2,0-1-3,11.294351485750433,-1.5415562266827125,3
510,0-3,18080946.701354675,-32.06219803526649,2,0-1-3,11.417672837347455,-1.591155837573706,3
520,2-3,18193176.72101007,-31.46874529188116,2,0-1-3,11.503055317589904,-1.6304793827698134,3
530,1-3,18613546.254876673,-30.768093566197358,2,0-1-3,11.547859145617197,-1.6580717157944482,3
540,2-3,14449111.172126306,-31.030753001514174,2,0-1-3,11.551884107756546,-1.6731175336258661,3
550,0-3,58170852.49213936,-34.50783021629163,2,0-1-3,11.517063544531062,-1.6753631308394978,3
560,0-3,26194240.202968292,-32.92683422000838,2,0-1-3,11.447153211383151,-1.6650547593950655,3
570,2-3,15973748.737422418,-31.215001706472936,2,0-1-3,11.347460669373845,-1.6429051053917902,3
580,0-3,29722175.816964157,-33.18884855775858,2,0-1-3,11.224629201398304,-1.6100905837373016,3
590,,inf,-inf,0,0-1-3,11.086466555812308,-1.5682751333589477,3
