k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
300,211.60415763241002,-176.8673839429653,-33.42,3.2500473367199474,3.9310798919225105,2,3.6117853153674746,1.5519007546790382,0-1-3,2.945542505327121,3.9646979014934725,2,3.6411030874104235,1.5688204986412642,1-3,2.446043132625066,4.156208552990111,2,3.8219276536370272,1.6330764055342673
310,205.52914542676717,-174.5128473373415,-34.38666666666667,3.2511509360681883,3.928467710197554,2,3.6285010377763367,1.5056024604525788,0-1-3,2.944844751978499,3.9656493240531097,2,3.661240111392293,1.5237110645050242,1-3,2.4414804935127616,4.1652687359024245,2,3.8504378154873447,1.5885818428243574
320,199.00950199943412,-173.73867265900532,-35.35333333333333,3.257994665720076,3.914544598727914,2,3.6336428974928423,1.4561245513106724,0-1-3,2.9498479457153675,3.955251364702444,2,3.669796618928391,1.475332550200901,1-3,2.442650169908192,4.162343215060856,2,3.866794722366376,1.5404543534433888
330,192.45268992979504,-174.61834302681987,-36.32,3.2703352016622484,3.8898965499994262,2,3.6266978118077655,1.4065412015032488,0-1-3,2.9604250311408604,3.9338358764906562,2,3.666009645997562,1.426687764935916,1-3,2.449654781708909,4.1472370073090845,2,3.869683097163944,1.491686133983177
340,186.27475323870942,-177.12118881275336,-37.28666666666667,3.2876727890420936,3.8556842928813593,2,3.6078788123612386,1.3599675884692575,0-1-3,2.976205628028851,3.9022989465045175,2,3.6498265675833514,1.380834202376592,1-3,2.4623631746668395,4.120346781764054,2,3.858520088878708,1.445365118477972
350,180.8739209966144,-181.11276881180694,-38.25333333333333,3.309233690685398,3.8136349659741264,2,3.5781374791531135,1.3193725152436204,0-1-3,2.996548696891061,3.8621204082806195,2,3.621946663758066,1.340699971264814,1-3,2.48036879184738,4.082728601384239,2,3.833548878510198,1.4044841859679675
360,176.60495386241803,-186.3618836997036,-39.22,3.3339537301362183,3.766015831805534,2,3.5391360477272453,1.2873970953390814,0-1-3,3.020512518490185,3.8153692199224882,2,3.5838270721417973,1.3089025178811027,1-3,2.5029399280087263,4.036155962847026,2,3.795901303742665,1.3717464228749943
370,173.75588511913156,-192.55387119908738,-40.18666666666667,3.3604737735329224,3.715577360933424,2,3.493176035140328,1.2661896827104093,0-1-3,3.04683378998545,3.7646772104272244,2,3.53764459700968,1.287581144611215,1-3,2.52897469623416,3.98314238986277,2,3.7476120656651535,1.349380266345502
380,172.52867847849492,-199.30942497721708,-41.153333333333336,3.3871619441712895,3.6654509407063567,2,3.443081434833863,1.2572672078072755,0-1-3,3.073932790529553,3.7131603675320606,2,3.486204662497907,1.2782554385523583,1-3,2.556980609905936,3.9268967776224266,2,3.6915643521090944,1.3389813054478248
390,173.02509616126753,-206.20781466307886,-42.12,3.4121791006615103,3.6189881406068505,2,3.3920370129625352,1.261411932932787,0-1-3,3.0999646592739953,3.664268382841199,2,3.4327910344230634,1.281720911694231,1-3,2.5851038430930418,3.8711810919114593,2,3.6313491126798136,1.341397282020629
400,175.23875580707838,-212.8130865141271,-43.086666666666666,3.4336006546851587,3.579535941182547,2,3.343386553139468,1.278610147974669,0-1-3,3.1229342786098284,3.6215523452660654,2,3.380956090009963,1.297989717573556,1-3,2.611231982362048,3.820053224652782,2,3.5710305084637897,1.3566678837508335
410,179.05397263648896,-218.7016132375538,-44.053333333333335,3.449596251715194,3.550156711660971,2,3.3004021758640483,1.3080359914403317,0-1-3,3.1408802703874654,3.5883586275952086,2,3.334261838502462,1.3262788668086178,1-3,2.633181469424444,3.7775041492416466,2,3.5148287149002355,1.3840219299023464
420,184.25155756571405,-223.48925202925759,-45.019999999999996,3.458649013458336,3.5333213513889516,2,3.26604321136037,1.3480806777444334,0-1-3,3.152111307293342,3.567481753674196,2,3.295995007945781,1.3650432119148486,1-3,2.6489553624262676,3.747033066105843,2,3.4667543276236095,1.4219251845274883
430,190.52129937198532,-226.85637046222877,-45.986666666666665,3.4597735227252837,3.530623056582939,2,3.2427292124711227,1.3964263039134823,0-1-3,3.1554511471457025,3.560832732801051,2,3.268891033137837,1.4120485701485082,1-3,2.6570249413562763,3.731234865158844,2,3.430247500237412,1.4681674652749679
440,197.48042768292467,-228.56911191022618,-46.95333333333333,3.4526779705471475,3.542568508215492,2,3.232153380774162,1.4501641833083219,0-1-3,3.1504306961477093,3.5691907196864903,2,3.2549058979501173,1.4644828401130907,1-3,2.6565653798411573,3.7314858398833373,2,3.4078798696274815,1.5199807128505407
450,204.69696133082823,-228.49549006872323,-47.92,3.437822376923122,3.568494925822465,2,3.235157787439464,1.5059582085803294,0-1-3,3.1373700770705213,3.5920956610516455,2,3.255067582741882,1.5191070633530026,1-3,2.6475779777814186,3.7477966170859442,2,3.401163648608736,1.574187192942237
460,211.71651915055332,-226.61521329981628,-48.88666666666666,3.4163535103515423,3.6066346848721924,2,3.2516812362870136,1.5602509053681386,0-1-3,3.1173246910309387,3.627907648899711,2,3.269421876820001,1.5724485684167262,1-3,2.630864282083318,3.7788592485825556,2,3.410484845546757,1.6273814362016765
470,218.090929471285,-223.02252529296018,-49.85333333333333,3.3899358538693836,3.654313300236997,2,3.28077855864035,1.6095023285024352,0-1-3,3.0919134304333653,3.6740164222952725,2,3.2970676182713627,1.6210310891040172,1-3,2.6078666197873135,3.822264830504594,2,3.4351486338787627,1.6761450705929921
480,223.4068369521382,-217.92178517603693,-50.82,3.3605272914108166,3.708236330323986,2,3.3207012089229124,1.6504424142006917,0-1-3,3.0630820153016756,3.727149249888516,2,3.336262195425602,1.661624534700445,1-3,2.5804298812080995,3.8748293318192393,2,3.4735061927190896,1.7172818871311917
490,227.312481229819,-211.6159704317282,-51.78666666666667,3.3301552279101756,3.764807590890523,2,3.369025316043634,1.680310868941814,0-1-3,3.032864093512197,3.783710468847258,2,3.384573331163628,1.691487002031136,1-3,2.550552503380218,3.932951512798763,2,3.5231281688038463,1.748049057723192
500,229.54091413276888,-204.48874060292823,-52.75333333333333,3.300734990168238,3.8204268719523906,2,3.422813624455196,1.6970587427015633,0-1-3,3.0031879549484177,3.8400933364622176,2,3.439056027289685,1.7085697158453963,1-3,2.5201803535351672,3.992937823436542,2,3.580996541938699,1.7663567670358185
510,229.92812659079752,-196.98111961727545,-53.72,3.273949122978788,3.871733418982378,2,3.47879946247479,1.699492267575844,0-1-3,2.9757504603097615,3.892926676831263,2,3.4964395240315547,1.711662573632577,1-3,2.49106940135403,4.051254905064978,2,3.643697159984342,1.7709142588321658
520,228.42486120975929,-189.5642122862756,-54.68666666666667,3.2511855249214165,3.915782268395774,2,3.5335822636492957,1.6873491516298202,0-1-3,2.9519560492463643,3.939243803598102,2,3.5533145588795136,1.7004697556384039,1-3,2.4647170914690646,4.104698266716291,2,3.7076043088351724,1.7613114857658163
530,225.10127357571446,-182.70964243061644,-55.65333333333333,3.233520242582631,3.950157110221313,2,3.583824946641556,1.6613066987349563,0-1-3,2.9329046973733677,3.9765809148312417,2,3.606314762014178,1.6756161879973275,1-3,2.442346478863586,4.150487125247787,2,3.7690545460817657,1.7380365949852774
540,220.1440509865007,-176.85956763901635,-56.62,3.221727074514825,3.97303298569275,2,3.6264440977331773,1.6229276975327183,0-1-3,2.919408497103839,4.003023271949234,2,3.652288013000539,1.6385931727734369,1-3,2.4249219023338773,4.186307223878015,2,3.8245101140347026,1.702436653840466
550,213.8460737128602,-172.39817682220897,-57.586666666666666,3.2162978845283483,3.9832053729941586,2,3.658784799395473,1.5745535351845485,0-1-3,2.912018607265764,4.0172207238897055,2,3.6884547056112416,1.5916545570893272,1-3,2.4131765734581236,4.21032683219258,2,3.8707136453998605,1.6566314946891862
560,206.58918097637746,-169.62650671950055,-58.553333333333335,3.217461535564852,3.9801009965102927,2,3.6787731258596192,1.5191551042850333,0-1-3,2.911048918245843,4.018392011324626,2,3.712550517379515,1.5376745470295954,1-3,2.4076369056950613,4.221208907119212,2,3.904836305494595,1.6033895549222876
570,198.82105108608442,-168.74222529580237,-59.519999999999996,3.2251936459034956,3.963781915911694,2,3.68504053094042,1.4601518284873416,0-1-3,2.9165875553693317,4.006332225663162,2,3.7229514713463168,1.4799764337270525,1-3,2.4086330909350746,4.218137098816876,2,3.92462111830827,1.5459720767672354
580,191.02759361744512,-169.825734081733,-60.486666666666665,3.239213202035404,3.9349493980449894,2,3.6770152983626385,1.401208500110438,0-1-3,2.9284914369471915,3.981431374438887,2,3.718778639670686,1.4221396620920785,1-3,2.4162893968797174,4.200866295939436,2,3.9285217123556424,1.4879498620283584
590,183.7025555698019,-172.8335555317851,-61.45333333333333,3.2589655583179225,3.894948392957673,2,3.6549767514829337,1.346019290323441,0-1-3,2.9463627072034946,3.944704865359991,2,3.6999786145329394,1.3677919164820695,1-3,2.43049117403576,4.1697999277118045,2,3.9158336190746645,1.4329963380518402
