t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
30.13,219.24359130859375,-194.37205505371094,-5.741523265838623,218.94325276317417,-194.47479479934694,-5.745027685208255,0.31744444892487295,0.5922084508795022,0.13373571232661755,3.5712551416332333e-05,14.954132649730182,27.288225424951715,nan,nan,True,False,True,True
30.14,219.24085998535156,-194.36337280273438,-5.742910385131836,218.94058004807985,-194.4661050198858,-5.745181573194659,0.3173753416129934,0.5922514194590085,0.13375979059275944,3.501534940559055e-05,14.6978178616151,27.938074656859765,nan,nan,True,False,True,True
30.150000000000002,219.23806762695312,-194.35467529296875,-5.744271278381348,218.91859037042437,-194.4408399579366,-5.746625681651229,0.330901209038163,0.5921904687439716,0.13375015751467456,3.5699560043665385e-05,13.818915775537514,27.01780775530776,nan,nan,True,False,True,True
30.16,219.23519897460938,-194.3459930419922,-5.745605945587158,218.91576387910797,-194.43211003796623,-5.747513911935276,0.33084521693560787,0.5922332643391301,0.13377421422053973,3.500284772900164e-05,13.707976520458441,27.881608303171987,nan,nan,True,False,True,True
30.17,219.23226928710938,-194.33729553222656,-5.746913909912109,218.91286991296178,-194.42338111049622,-5.748926497909999,0.3308031703329724,0.5922761448376306,0.13379833494599055,3.570859904025643e-05,13.660043951211279,26.953497660008427,nan,nan,True,False,True,True
30.18,219.22927856445312,-194.32861328125,-5.748196601867676,218.9099100129888,-194.41465270323675,-5.750289347149149,0.3307618983242285,0.5923191103778674,0.13382251983133112,3.5011531398345155e-05,13.613153693531668,27.51242541800527,nan,nan,True,False,True,True
30.19,219.22621154785156,-194.31993103027344,-5.749453067779541,218.90688492919872,-194.4059248384738,-5.7516520144628,0.3307102353958376,0.5923621611104334,0.1338467690251123,3.571762997700698e-05,13.564576804833777,27.71484131759607,nan,nan,True,False,True,True
30.2,219.22308349609375,-194.3112335205078,-5.75068473815918,218.89434228550095,-194.40044124173633,-5.753991276116257,0.3406460542294061,0.5923012201860788,0.13383702960016397,3.49989998317284e-05,14.600330531824614,26.951682248346835,nan,nan,True,False,True,True
30.21,219.21990966796875,-194.30255126953125,-5.75189208984375,218.89115753591938,-194.39173299873352,-5.755315033360017,0.3406509381945555,0.5923440976565807,0.1338612565241303,3.5704568923753556e-05,14.559266738723576,27.234405947883573,nan,nan,True,False,True,True
30.22,219.21665954589844,-194.2938690185547,-5.753075122833252,218.88790931475796,-194.38302545557846,-5.756914719790425,0.34064692460447016,0.5923870601033548,0.1338855478121316,3.5007636183256065e-05,14.594918380559868,27.54840618049469,nan,nan,True,False,True,True
