t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
88.54,0.8372659545652618,0.8372659545652618,8.454950103719366,4.881021694777415,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.230456491097575,0.9488888888885669,,,,,
88.55,0.8711417985507831,0.8711417985507831,8.23631103200224,4.992099389416225,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2303864183449156,0.9488833333330113,,,,,
88.56,0.8715216853396234,0.8715216853396234,9.658052703373633,5.5845212949023235,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2304330843181828,0.9488777777774557,,,,,
88.57000000000001,0.8718882580147694,0.8718882580147694,8.831122511928182,5.579461223181612,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2304798224892133,0.9488722222219002,,,,,
88.58,0.8722065874132257,0.8722065874132257,9.755480976834939,5.650896549372187,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2305266329672098,0.9488666666663446,,,,,
88.59,0.8725193671816994,0.8725193671816994,8.879186441437794,5.645519960186169,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2305735158613462,0.948861111110789,,,,,
88.60000000000001,0.8657485321627164,0.8657485321627164,10.1476674523622,5.286080974582969,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2305034497726153,0.9488555555552334,,,,,
88.61,0.8660686803760278,0.8660686803760278,9.176015811202511,5.280977991703034,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2305501113077693,0.9488499999996778,,,,,
88.62,0.8663910440429782,0.8663910440429782,10.161739933734138,5.305352629549228,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2305968450341578,0.9488444444441222,,,,,
88.63,0.8667094568512609,0.8667094568512609,9.166525765492807,5.300418734922827,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2306436510609744,0.9488388888885666,,,,,
88.64,0.8670289105665437,0.8670289105665437,9.188322009676474,5.287149683405243,0,,0.0,inf,0.0,inf,xy:uncertainty_gated_off,xy,[],0,uncertainty_gated_off,0,inf,0,inf,1.2306905294973842,0.948833333333011,,,,,
