t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
73.01,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5508332994053705,0.5133333333333869,low_power,0.2309031620861398,0.00011585694086461168,0.27176470588238133,0.1347981168614829
73.02,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5508650970675146,0.5132666666667203,low_power,0.23087609797438136,0.00011636749379021353,0.27172941176473425,0.13480931813214947
73.03,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5509118674085908,0.5132000000000536,low_power,0.2308489866944139,0.00011638560409826236,0.27169411764708723,0.13482054016334255
73.04,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5509583995834393,0.513133333333387,low_power,0.23082187777150823,0.00011640643052948095,0.27165882352944015,0.13483178304903143
73.05,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5928826962931256,0.5130666666667203,low_power,0.230790140161305,0.00011651030909381045,0.2716235294117931,0.13479665600961133
73.06,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5929594451955263,0.5130000000000536,low_power,0.2307630283871945,0.00011657026826737269,0.27158823529414605,0.1348078312505091
73.07000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5930963776933814,0.512933333333387,low_power,0.23073591438075086,0.00011658719278433078,0.271552941176499,0.1348190272027322
73.08,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5931685024191942,0.5128666666667203,low_power,0.23070882624389022,0.00011684209918057482,0.27151764705885195,0.13483024386890585
73.09,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5932455492843486,0.5128000000000537,low_power,0.23068171701321274,0.00011686525735489738,0.2714823529412049,0.13484148134513352
73.10000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6315676254456946,0.512733333333387,low_power,0.23065001705633242,0.00011675927969333509,0.27144705882355785,0.13480694069516785
73.11,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6317416956247933,0.5126666666667203,low_power,0.23062290021661044,0.00011677409300295826,0.2714117647059108,0.13481811042581504
