k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
270,223.73119192148994,-191.2874269021482,-30.52,3.279960498786259,3.873754059570856,2,3.5069616128390932,1.645354296227628,0-1-3,2.979756957147935,3.8984559102696736,2,3.5278651611031213,1.6589532511169205,1-3,2.4900526654182027,4.066756586510315,2,3.6851922504432144,1.719845112560519
275,222.54090307088777,-188.33586313742663,-31.003333333333334,3.271801851665769,3.889438691506971,2,3.528608474616421,1.6360487669555062,0-1-3,2.971042528065394,3.9153327493274857,2,3.550623898162048,1.6501213506154229,1-3,2.480017612254744,4.0870656327996135,2,3.7113772114088337,1.7116613804858989
280,220.98361058757231,-185.54598717625024,-31.486666666666665,3.2648158564246224,3.9028901389923503,2,3.5489878687442014,1.6239570636412222,0-1-3,2.9634282007650294,3.9301129735687215,2,3.57224765959382,1.6385465033192244,1-3,2.470932785234206,4.105517956112574,2,3.7366878033520248,1.7007180684178633
285,219.08117449995058,-182.96341643103185,-31.97,3.2590867098574994,3.913918916551935,2,3.567779670126834,1.6092574408007971,0-1-3,2.9570033997140874,3.9425949529512754,2,3.592406257048987,1.624399041908163,1-3,2.462905178202521,4.121865966781838,2,3.7607488973053815,1.6871712359836901
290,216.86112220773592,-180.63082454269687,-32.45333333333333,3.254682831158246,3.922368931522507,2,3.584685829765925,1.5921700715841869,0-1-3,2.951842867897356,3.952607663205479,2,3.610788794668006,1.6078904252251294,1-3,2.456028806631241,4.135888417405061,2,3.7831999061735018,1.671218558763082
295,214.3562533930655,-178.58723771873196,-32.93666666666667,3.251657144432959,3.9281182923870337,2,3.59943474765285,1.572953532808547,0-1-3,2.948007063952754,3.9600113218369537,2,3.627107793080631,1.5892698721270124,1-3,2.450385083915373,4.147391269573249,2,3.803699070219625,1.653096405580378
300,211.60415763241002,-176.8673839429653,-33.42,3.2500473367199474,3.9310798919225105,2,3.6117853153674746,1.5519007546790382,0-1-3,2.945542505327121,3.9646979014934725,2,3.6411030874104235,1.5688204986412642,1-3,2.446043132625066,4.156208552990111,2,3.8219276536370272,1.6330764055342673
305,208.64665176670718,-175.5011058775034,-33.903333333333336,3.2498760447885133,3.9312018279499386,2,3.621530586701359,1.5293345028683067,0-1-3,2.944482003706031,3.966591599540582,2,3.652545478004899,1.5468550186271104,1-3,2.443059966737346,4.162203314781375,2,3.8375940532537065,1.611461546549857
310,205.52914542676717,-174.5128473373415,-34.38666666666667,3.2511509360681883,3.928467710197554,2,3.6285010377763367,1.5056024604525788,0-1-3,2.944844751978499,3.9656493240531097,2,3.661240111392293,1.5237110645050242,1-3,2.4414804935127616,4.1652687359024245,2,3.8504378154873447,1.5885818428243574
315,202.29994432569845,-173.92122211263174,-34.870000000000005,3.253864660970487,3.922896885797016,2,3.6325673807705954,1.4810719768996308,0-1-3,2.9466362346025767,3.9618612359209577,2,3.6670295666605495,1.4997461818356075,1-3,2.4413372960404973,4.165329467716263,2,3.8602335504589784,1.564789605837257
320,199.00950199943412,-173.73867265900532,-35.35333333333333,3.257994665720076,3.914544598727914,2,3.6336428974928423,1.4561245513106724,0-1-3,2.9498479457153675,3.955251364702444,2,3.669796618928391,1.475332550200901,1-3,2.442650169908192,4.162343215060856,2,3.866794722366376,1.5404543534433888
325,195.70963158215898,-173.97122479179643,-35.836666666666666,3.2635028669048998,3.9035020804240985,2,3.631685260653564,1.4311501177119457,0-1-3,2.954456912040543,3.9458782925896334,2,3.6694666469318973,1.450851483434627,1-3,2.4454254004906177,4.156302562444602,2,3.8699772826594625,1.515957394613467
330,192.45268992979504,-174.61834302681987,-36.32,3.2703352016622484,3.8898965499994262,2,3.6266978118077655,1.4065412015032488,0-1-3,2.9604250311408604,3.9338358764906562,2,3.666009645997562,1.426687764935916,1-3,2.449654781708909,4.1472370073090845,2,3.869683097163944,1.491686133983177
335,189.29074693873082,-175.672889631736,-36.80333333333333,3.278421081051873,3.873891083531334,2,3.618730265808904,1.382687018230152,0-1-3,2.967698250326671,3.9192539531194197,2,3.659441801095816,1.4032238785863094,1-3,2.4553143935340955,4.135215128705072,2,3.8658631002416146,1.4680281505685098
340,186.27475323870942,-177.12118881275336,-37.28666666666667,3.2876727890420936,3.8556842928813593,2,3.6078788123612386,1.3599675884692575,0-1-3,2.976205628028851,3.9022989465045175,2,3.6498265675833514,1.380834202376592,1-3,2.4623631746668395,4.120346781764054,2,3.858520088878708,1.445365118477972
345,183.45371956144083,-178.94319578738137,-37.769999999999996,3.2979848857249783,3.8355097362568475,2,3.5942855862203387,1.33874794551095,0-1-3,2.9858583379691934,3.8831742721347258,2,3.637275200104358,1.3598792396661035,1-3,2.4707413492098427,4.102785169074883,2,3.8477110481699266,1.4240666534161601
350,180.8739209966144,-181.11276881180694,-38.25333333333333,3.309233690685398,3.8136349659741264,2,3.5781374791531135,1.3193725152436204,0-1-3,2.996548696891061,3.8621204082806195,2,3.621946663758066,1.340699971264814,1-3,2.48036879184738,4.082728601384239,2,3.833548878510198,1.4044841859679675
355,178.57813904448142,-183.59804056819954,-38.736666666666665,3.3212769403200113,3.79036010473566,2,3.559664269300902,1.3021597495830515,0-1-3,3.0081493185128982,3.839414484270956,2,3.604046856803211,1.3236124191002838,1-3,2.491143444568216,4.060421724720328,2,3.8162033759949505,1.3869449793072346
360,176.60495386241803,-186.3618836997036,-39.22,3.3339537301362183,3.766015831805534,2,3.5391360477272453,1.2873970953390814,0-1-3,3.020512518490185,3.8153692199224882,2,3.5838270721417973,1.3089025178811027,1-3,2.5029399280087263,4.036155962847026,2,3.795901303742665,1.3717464228749943
365,174.98809838859563,-189.36246373536483,-39.70333333333333,3.3470848679159015,3.7409606565252247,2,3.5168599281745183,1.275336378870282,0-1-3,3.0334701155788677,3.790331042484774,2,3.561581626889002,1.296821393496577,1-3,2.515608519690449,4.0102689075523745,2,3.7729253863203334,1.3591507422434337
370,173.75588511913156,-192.55387119908738,-40.18666666666667,3.3604737735329224,3.715577360933424,2,3.493176035140328,1.2661896827104093,0-1-3,3.04683378998545,3.7646772104272244,2,3.53764459700968,1.287581144611215,1-3,2.52897469623416,3.98314238986277,2,3.7476120656651535,1.349380266345502
375,172.93071522907593,-195.88682336987367,-40.67,3.373908062988285,3.690268508128365,2,3.468452777918516,1.260125783179313,0-1-3,3.0603961672593654,3.738811790383035,2,3.5123856088238474,1.2813512160349818,1-3,2.5428394523113482,3.9551989880406104,2,3.7203478782130106,1.342613384438506
380,172.52867847849492,-199.30942497721708,-41.153333333333336,3.3871619441712895,3.6654509407063567,2,3.443081434833863,1.2572672078072755,0-1-3,3.073932790529553,3.7131603675320606,2,3.486204662497907,1.2782554385523583,1-3,2.556980609905936,3.9268967776224266,2,3.6915643521090944,1.3389813054478248
385,172.55925095165574,-202.7679760955965,-41.63666666666666,3.3999995262772247,3.6415492357980694,2,3.4174700928434043,1.2576879586218512,0-1-3,3.0872051206992968,3.6881634227742195,2,3.4595259952981157,1.2783697903760982,1-3,2.5711553113463514,3.898722207313026,2,3.6617313816513177,1.3385657019458121
390,173.02509616126753,-206.20781466307886,-42.12,3.4121791006615103,3.6189881406068505,2,3.3920370129625352,1.261411932932787,0-1-3,3.0999646592739953,3.664268382841199,2,3.4327910344230634,1.281720911694231,1-3,2.5851038430930418,3.8711810919114593,2,3.6313491126798136,1.341397282020629
395,173.9219734343754,-209.5741804057881,-42.60333333333333,3.423458386839897,3.59818408387416,2,3.3672035208718336,1.268412058628289,0-1-3,3.111958219443638,3.641920440362683,2,3.4064505394464617,1.2882853784144366,1-3,2.5985548610328744,3.8447878453573554,2,3.6009384639058752,1.347455288672262
400,175.23875580707838,-212.8130865141271,-43.086666666666666,3.4336006546851587,3.579535941182547,2,3.343386553139468,1.278610147974669,0-1-3,3.1229342786098284,3.6215523452660654,2,3.380956090009963,1.297989717573556,1-3,2.611231982362048,3.820053224652782,2,3.5710305084637897,1.3566678837508335
405,176.9575579183566,-215.87218519656662,-43.57,3.442381537690331,3.563415319618998,2,3.320991020352657,1.2918774643256163,0-1-3,3.132650234794001,3.6035734789461134,2,3.3567511309425826,1.310711128769222,1-3,2.622861579496655,3.797471005774948,2,3.5421550378032176,1.3689133383332492
410,179.05397263648896,-218.7016132375538,-44.053333333333335,3.449596251715194,3.550156711660971,2,3.3004021758640483,1.3080359914403317,0-1-3,3.1408802703874654,3.5883586275952086,2,3.334261838502462,1.3262788668086178,1-3,2.633181469424444,3.7775041492416466,2,3.5148287149002355,1.3840219299023464
415,181.49741340288168,-221.2548039091434,-44.53666666666667,3.4550668419707606,3.5400479388126778,2,3.2819781990607817,1.326860395814735,0-1-3,3.147423414450982,3.5762369579092477,2,3.3138881109976737,1.3444762425957033,1-3,2.641950054830616,3.760571117891849,2,3.4895432838131675,1.4017784429490872
420,184.25155756571405,-223.48925202925759,-45.019999999999996,3.458649013458336,3.5333213513889516,2,3.26604321136037,1.3480806777444334,0-1-3,3.152111307293342,3.567481753674196,2,3.295995007945781,1.3650432119148486,1-3,2.6489553624262676,3.747033066105843,2,3.4667543276236095,1.4219251845274883
425,187.27488432736487,-225.36721961741287,-45.50333333333333,3.4602380717209558,3.5301462616703647,2,3.2528809384612654,1.371385514354228,0-1-3,3.154815126590033,3.562301483714304,2,3.2809049588477244,1.3876795422148238,1-3,2.654023360732543,3.7371826158378885,2,3.4468710504077436,1.4441654565810462
430,190.52129937198532,-226.85637046222877,-45.986666666666665,3.4597735227252837,3.530623056582939,2,3.2427292124711227,1.3964263039134823,0-1-3,3.1554511471457025,3.560832732801051,2,3.268891033137837,1.4120485701485082,1-3,2.6570249413562763,3.731234865158844,2,3.430247500237412,1.4681674652749679
435,193.94083679842768,-227.93032297157896,-46.47,3.45724195719415,3.5347793610017573,2,3.235775473038518,1.4228219210591138,0-1-3,3.1539844829611545,3.5631354360054415,2,3.2601715082082428,1.437781580207815,1-3,2.65788102277893,3.729321142825508,2,3.4171755547399383,1.4935686841967282
440,197.48042768292467,-228.56911191022618,-46.95333333333333,3.4526779705471475,3.542568508215492,2,3.232153380774162,1.4501641833083219,0-1-3,3.1504306961477093,3.5691907196864903,2,3.2549058979501173,1.4644828401130907,1-3,2.6565653798411573,3.7314858398833373,2,3.4078798696274815,1.5199807128505407
445,201.08472345724073,-228.75955102259616,-47.43666666666667,3.4461630303293935,3.553870430506068,2,3.231940604007573,1.4780240082598617,0-1-3,3.144855136832608,3.578901482005023,2,3.2531925186525426,1.4917353164958185,1-3,2.6531049985802615,3.737686435917396,2,3.402514858838753,1.5469946763393811
450,204.69696133082823,-228.49549006872323,-47.92,3.437822376923122,3.568494925822465,2,3.235157787439464,1.5059582085803294,0-1-3,3.1373700770705213,3.5920956610516455,2,3.255067582741882,1.5191070633530026,1-3,2.6475779777814186,3.7477966170859442,2,3.401163648608736,1.574187192942237
