k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
100,0-3,27262922.213315863,-32.781925006731555,2,0-1-3,9.871686321213538,-1.2445622355344952,3
105,0-3,14096152.106403647,-31.455620511873658,2,0-1-3,9.822927955192696,-1.225198817076206,3
110,,inf,-inf,0,0-1-3,9.774680732472673,-1.2052934801378608,3
115,2-3,25170408.491650406,-32.02400174956091,2,0-1-3,9.727836856624604,-1.185174321955735,3
120,0-3,15270811.742787331,-31.5897396745788,2,0-1-3,9.683298267850788,-1.1651893987925117,3
125,2-3,21054124.999872275,-31.643494331019603,2,0-1-3,9.641964859443483,-1.1457026996894881,3
130,1-3,42747897.508018225,-32.30009557594611,2,0-1-3,9.604721206199105,-1.1270889569606015,3
135,1-3,24998501.95886095,-31.215694259190187,2,0-1-3,9.572421796485857,-1.1097272306674038,3
140,1-2,134395055.0177906,-36.37289012838616,2,0-1-3,9.545874860247006,-1.0939932786132411,3
145,1-3,21783413.70683264,-30.918557630558347,2,0-1-3,9.525825009412348,-1.0802508183556436,3
150,0-3,34821872.37446489,-33.17906393904104,2,0-1-3,9.512935050609286,-1.0688418988812654,3
155,0-3,14576706.62042169,-31.428741581601457,2,0-1-3,9.507767484586244,-1.060076718451838,3
160,1-3,42686948.599007785,-32.23691292413438,2,0-1-3,9.510766359714422,-1.0542233391430216,3
165,0-3,17589185.50179328,-31.789837685713202,2,0-1-3,9.522240282196346,-1.0514978422641859,3
170,2-3,32810814.872034594,-32.46563529701751,2,0-1-3,9.542347483984146,-1.0520555254712196,3
175,2-3,35344601.97254073,-32.614260795760394,2,0-1-3,9.571083891665236,-1.0559837472672888,3
180,2-3,20234405.948045883,-31.50030411108383,2,0-1-3,9.608275108721736,-1.0632969680767603,3
185,1-3,18242561.532761976,-30.517995578508692,2,0-1-3,9.65357310868796,-1.0739344177010723,3
190,2-3,30311797.691492252,-32.31677950800028,2,0-1-3,9.706458235967839,-1.0877606450338977,3
195,2-3,31459145.233339697,-32.39754436937965,2,0-1-3,9.766246833696242,-1.1045689952566429,3
200,,inf,-inf,0,0-1-3,9.832104485148129,-1.1240878373295216,3
205,2-3,12535665.263921117,-30.57437509164894,2,0-1-3,9.903064497493434,-1.1459891581380903,3
210,2-3,12960001.451370414,-30.651220969788056,2,0-1-3,9.978050911331907,-1.169898974766895,3
215,2-3,22953385.417183854,-31.805586409831268,2,0-1-3,10.055905023829295,-1.1954089116718407,3
220,0-2,48062724.89851305,-35.42719878042015,2,0-1-3,10.135414199957244,-1.2220882538935602,3
225,1-3,22398255.344656438,-30.980862097790556,2,0-1-3,10.215341637279256,-1.249495819029958,3
230,0-3,11423908.30738207,-30.971634206131277,2,0-1-3,10.294455753155235,-1.2771910783889622,3
235,1-3,30708521.951076183,-31.635967133802158,2,0-1-3,10.371557973445597,-1.3047440844686156,3
240,0-3,25781380.767159108,-32.625787177944105,2,0-1-3,10.445507899175906,-1.331743907795528,3
245,0-1,95088535.31015189,-34.76022481306762,2,0-1-3,10.515245085524791,-1.357805432917079,3
250,1-3,17970262.535347532,-30.602404033713828,2,0-1-3,10.579806953036787,-1.3825744957069404,3
255,1-3,20517584.576933622,-30.880008332956976,2,0-1-3,10.638342634624923,-1.4057314524732343,3
260,0-3,40847024.18682783,-33.60313270429509,2,0-1-3,10.690122816999818,-1.426993350572194,3
265,1-3,23148086.309136074,-31.14484050826807,2,0-1-3,10.734545844063808,-1.4461149201397268,3
270,0-3,12348847.109981833,-31.238258883552767,2,0-1-3,10.77114050244772,-1.4628886299852812,3
275,2-3,15630040.391624607,-31.16670491656089,2,0-1-3,10.799566003698992,-1.4771440524678754,3
280,0-1,95115028.1892008,-34.81101640952313,2,0-1-3,10.819609718054089,-1.4887467679120125,3
285,0-3,22025037.77626494,-32.43205042514694,2,0-1-3,10.831183209646886,-1.4975970142179595,3
290,1-3,21721111.3729412,-31.06189593817766,2,0-1-3,10.834317082887123,-1.5036282564152046,3
295,2-3,19569235.60708908,-31.628671175650588,2,0-1-3,10.829155085866049,-1.5068058177044978,3
300,1-3,27156191.194590706,-31.518168714812255,2,0-1-3,10.81594783844911,-1.507125680409505,3
305,0-3,20839245.97897854,-32.35508363039898,2,0-1-3,10.795046468971513,-1.5046135338378397,3
310,2-3,16270880.244083837,-31.253442760331613,2,0-1-3,10.766896359671318,-1.4993241167873697,3
315,1-3,108657518.03450607,-34.29546327363661,2,0-1-3,10.732031121578498,-1.4913408753788633,3
320,2-3,50016677.34550492,-33.48813407840919,2,0-1-3,10.691066846348198,-1.4807759314189566,3
325,2-3,40789476.20472365,-33.07260533051187,2,0-1-3,10.64469661656946,-1.4677703318861912,3
330,1-2,67421576.73373199,-35.117924518757725,2,0-1-3,10.593685196718418,-1.4524945253566512,3
335,0-3,15522714.27474477,-31.773778224768968,2,0-1-3,10.538863773961914,-1.4351489855333428,3
340,1-3,36234703.99726981,-32.07721281767404,2,0-1-3,10.481124570298185,-1.4159648748429716,3
345,0-3,16152096.645178286,-31.843917501013276,2,0-1-3,10.421415104676612,-1.3952046121594721,3
350,2-3,21979000.71694365,-31.78087487960815,2,0-1-3,10.36073184650351,-1.3731621787573571,3
355,1-3,26366613.874727458,-31.412443781052666,2,0-1-3,10.30011297091832,-1.3501629667970096,3
