t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
21.76,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.903201146206244,0.9999395833334054,cruise,0.26377098028096013,4.5314905805310255e-05,0.749954687500054,0.19380958289020656
21.77,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9035687721977465,0.9999395555556276,cruise,0.2637725811813944,4.5331250167511927e-05,0.7499546666667207,0.19381757778147202
21.78,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9039943987947996,0.9999395277778499,cruise,0.26377418151000626,4.534227271002501e-05,0.7499546458333874,0.1938255831181751
21.79,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9044195420957816,0.9999395000000721,cruise,0.2637757855770677,4.5356565191956724e-05,0.7499546250000542,0.19383359897227737
21.8,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8500549214262132,0.9999394722222944,cruise,0.26376987075357416,4.539757875178928e-05,0.7499546041667208,0.1938039535709104
21.81,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8504327479662176,0.9999394444445167,cruise,0.2637714577868253,4.540509741401857e-05,0.7499545833333875,0.19381190119051017
21.82,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8508684577460407,0.9999394166667389,cruise,0.26377304918726263,4.541713807977633e-05,0.7499545625000542,0.1938198593410323
21.830000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8512429665461694,0.9999393888889612,cruise,0.26377464342964213,4.543062727486309e-05,0.7499545416667208,0.19382782807994237
21.84,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8516329017346487,0.9999393611111834,cruise,0.2637762589229864,4.5482309816681576e-05,0.7499545208333875,0.19383580759030905
21.85,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8802862955582155,0.9999393333334057,cruise,0.26377313214298387,4.547569423312827e-05,0.7499545000000543,0.19382022147925526
21.86,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8806682086899082,0.9999393055556279,cruise,0.26377471443550693,4.547621842902685e-05,0.749954479166721,0.1938281628813806
21.87,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8810514502980215,0.9999392777778502,cruise,0.26377630631392596,4.5491571198428226e-05,0.7499544583333877,0.19383611514155208
21.88,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8814811504794541,0.9999392500000724,cruise,0.26377788697223614,4.5480145310748424e-05,0.7499544375000543,0.19384407824782224
21.89,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.881859552438495,0.9999392222222947,cruise,0.2637794827649676,4.5494572655491164e-05,0.749954416666721,0.19385205239311776
21.900000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8892095081768824,0.999939194444517,cruise,0.2637756133038238,4.5490120159728474e-05,0.7499543958333877,0.1938327474686382
21.91,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8896277900064319,0.9999391666667392,cruise,0.2637771971729711,4.550049992540707e-05,0.7499543750000544,0.19384067211496048
21.92,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8899778176864109,0.9999391388889615,cruise,0.2637787768167687,4.5498012354489695e-05,0.7499543541667211,0.19384860780287583
21.93,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8903314226324383,0.9999391111111837,cruise,0.26378036719263637,4.551252840718972e-05,0.7499543333333878,0.19385655464208218
