t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
43.12,0.7885564594349792,0.6703970153875612,2.0,usv2|usv4,2.0,4.100135341738453,2.0,3.559607677607558,xy
43.13,0.788370799647605,0.6704660673123309,2.0,usv2|usv4,2.0,4.100186494023798,2.0,3.5596488527917853,xy
43.14,0.7882062772815637,0.6705338696138972,2.0,usv2|usv4,2.0,4.10023765975854,2.0,3.5596894648282875,xy
43.15,0.7934035200170549,0.6704381885476038,2.0,usv2|usv4,2.0,4.100311728104471,2.0,3.5597495156751786,xy
43.160000000000004,0.7932360854559726,0.6705057926674342,2.0,usv2|usv4,2.0,4.100362970673946,2.0,3.559791455680372,xy
43.17,0.7930645355483084,0.6705749517701727,2.0,usv2|usv4,2.0,4.1004142116374185,2.0,3.559833978131996,xy
43.18,0.7928953203063752,0.670642861683564,2.0,usv2|usv4,2.0,4.100465450742281,2.0,3.5598771576844466,xy
43.19,0.7927275295778113,0.6707123278494265,2.0,usv2|usv4,2.0,4.100516694703319,2.0,3.559919781102942,xy
43.2,0.7616522544687414,0.6706153940552709,2.0,usv2|usv4,2.0,4.100494152466412,2.0,3.5599069256482525,xy
43.21,0.7614082092993438,0.670684659815903,2.0,usv2|usv4,2.0,4.100545184937422,2.0,3.5599489892279967,xy
43.22,0.7611760739308037,0.670752676819098,2.0,usv2|usv4,2.0,4.1005962192523056,2.0,3.559990824691364,xy
43.230000000000004,0.760947056375155,0.6708222498385631,2.0,usv2|usv4,2.0,4.100647254397438,2.0,3.5600325269981603,xy
43.24,0.7607179035662658,0.6708905739811291,2.0,usv2|usv4,2.0,4.100698290637863,2.0,3.5600741696227454,xy
43.25,0.7788772370864371,0.6707951868336867,2.0,usv2|usv4,2.0,4.100755192310272,2.0,3.5601151708216636,xy
43.26,0.7786738968668498,0.6708633103873333,2.0,usv2|usv4,2.0,4.100806191942134,2.0,3.5601566051533444,xy
43.27,0.7784682572372853,0.6709329897146319,2.0,usv2|usv4,2.0,4.100857193804662,2.0,3.560197601868474,xy
43.28,0.7782660026630531,0.6710014205969972,2.0,usv2|usv4,2.0,4.100908198010994,2.0,3.56023862149338,xy
43.29,0.7780603041370127,0.6710714085194709,2.0,usv2|usv4,2.0,4.1009592066497405,2.0,3.560279349870469,xy
43.300000000000004,0.7591677795561569,0.6709747576796558,2.0,usv2|usv4,2.0,4.1010194276688035,2.0,3.5603331105960456,xy
43.31,0.758943951214871,0.671044542752041,2.0,usv2|usv4,2.0,4.10107056220351,2.0,3.5603747432694672,xy
43.32,0.7587170163760272,0.6711130798098615,2.0,usv2|usv4,2.0,4.101121703718622,2.0,3.560417041881039,xy
43.33,0.7584936131575478,0.671183173656789,2.0,usv2|usv4,2.0,4.101172849547019,2.0,3.5604594393102884,xy
43.34,0.7582521364574937,0.6712534364624028,2.0,usv2|usv4,2.0,4.1012240019359805,2.0,3.560502203575783,xy
43.35,0.7202889404582794,0.6711583478694002,2.0,usv2|usv4,2.0,4.10119006359168,2.0,3.5604831796342973,xy
43.36,0.7199929179576281,0.6712269047592908,2.0,usv2|usv4,2.0,4.101240987645592,2.0,3.56052557415792,xy
43.37,0.7196942936481376,0.671297130609885,2.0,usv2|usv4,2.0,4.101291921262714,2.0,3.5605682252249893,xy
43.38,0.7193987645643656,0.6713659993872559,2.0,usv2|usv4,2.0,4.101342853554509,2.0,3.5606102016286805,xy
43.39,0.7190882714486706,0.671436533697713,2.0,usv2|usv4,2.0,4.101393795092856,2.0,3.5606525359219603,xy
43.4,0.7549064324102579,0.6713400625105158,2.0,usv2|usv4,2.0,4.101428520899486,2.0,3.5606700838811167,xy
43.410000000000004,0.7546542723129954,0.6714103898527345,2.0,usv2|usv4,2.0,4.10147926618362,2.0,3.560711906074405,xy
43.42,0.7543859530388497,0.6714793698889905,2.0,usv2|usv4,2.0,4.101530029003348,2.0,3.5607544865483307,xy
