t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
270.58,0.9886708097977673,1.4783220321575883,0.0,,nan,nan,nan,nan,uncertainty_gated
270.59000000000003,0.9890898624416845,1.478429508040308,0.0,,nan,nan,nan,nan,uncertainty_gated
270.6,1.0024413935995145,1.4782867133014055,0.0,,nan,nan,nan,nan,uncertainty_gated
270.61,1.0028829675472244,1.478393710556958,0.0,,nan,nan,nan,nan,uncertainty_gated
270.62,1.0033241776480502,1.4784994761435468,0.0,,nan,nan,nan,nan,uncertainty_gated
270.63,1.0037656680874842,1.4786068372371635,0.0,,nan,nan,nan,nan,uncertainty_gated
270.64,1.0041948736420527,1.4787129675842658,0.0,,nan,nan,nan,nan,uncertainty_gated
270.65,0.9769604287704705,1.4785713794437902,0.0,,nan,nan,nan,nan,uncertainty_gated
270.66,0.9773572301416394,1.478677032636189,0.0,,nan,nan,nan,nan,uncertainty_gated
270.67,0.9777382835742839,1.4787842787373027,0.0,,nan,nan,nan,nan,uncertainty_gated
270.68,0.9781199158703364,1.478890295999757,0.0,,nan,nan,nan,nan,uncertainty_gated
270.69,0.9785050331535152,1.4789979065597383,0.0,,nan,nan,nan,nan,uncertainty_gated
270.7,0.9381174863896674,1.4788547015540863,0.0,,nan,nan,nan,nan,uncertainty_gated
270.71,0.9384316402706758,1.4789618324540528,0.0,,nan,nan,nan,nan,uncertainty_gated
270.72,0.9387501993446836,1.4790677361423177,0.0,,nan,nan,nan,nan,uncertainty_gated
270.73,0.9390746112046248,1.4791752309559159,0.0,,nan,nan,nan,nan,uncertainty_gated
270.74,0.939389426294806,1.4792814991302778,0.0,,nan,nan,nan,nan,uncertainty_gated
270.75,0.9273928776567812,1.4791394983322879,0.0,,nan,nan,nan,nan,uncertainty_gated
270.76,0.927700095571667,1.4792452879848348,0.0,,nan,nan,nan,nan,uncertainty_gated
270.77,0.9279976005075085,1.4793526668352184,0.0,,nan,nan,nan,nan,uncertainty_gated
270.78000000000003,0.9282930429052946,1.4794588203124008,0.0,,nan,nan,nan,nan,uncertainty_gated
270.79,0.9285937582262838,1.4795665636816087,0.0,,nan,nan,nan,nan,uncertainty_gated
270.8,0.9218765607394936,1.4794229515288966,0.0,,nan,nan,nan,nan,uncertainty_gated
270.81,0.9221623500165711,1.4795302141966442,0.0,,nan,nan,nan,nan,uncertainty_gated
270.82,0.9224404759084056,1.4796362525519515,0.0,,nan,nan,nan,nan,uncertainty_gated
270.83,0.9227279785751712,1.4797438791843311,0.0,,nan,nan,nan,nan,uncertainty_gated
270.84000000000003,0.9229969412128212,1.4798502818202888,0.0,,nan,nan,nan,nan,uncertainty_gated
270.85,0.9237181481186064,1.4797078730675377,0.0,,nan,nan,nan,nan,uncertainty_gated
270.86,0.9240110455904045,1.4798137959003241,0.0,,nan,nan,nan,nan,uncertainty_gated
270.87,0.9242860591373935,1.479921305571864,0.0,,nan,nan,nan,nan,uncertainty_gated
270.88,0.9245692988409346,1.4800275920481287,0.0,,nan,nan,nan,nan,uncertainty_gated
270.89,0.9248532474078613,1.480135466278404,0.0,,nan,nan,nan,nan,uncertainty_gated
270.9,0.8879928562400766,1.4799914504343135,0.0,,nan,nan,nan,nan,uncertainty_gated
270.91,0.8882195876596956,1.4800988429205335,0.0,,nan,nan,nan,nan,uncertainty_gated
270.92,0.888443946739471,1.4802050128676338,0.0,,nan,nan,nan,nan,uncertainty_gated
270.93,0.8886612156239044,1.4803127693521518,0.0,,nan,nan,nan,nan,uncertainty_gated
270.94,0.888843049953892,1.4804193034319286,0.0,,nan,nan,nan,nan,uncertainty_gated
270.95,0.9087764186060157,1.480276491331348,0.0,,nan,nan,nan,nan,uncertainty_gated
270.96,0.9089624658485792,1.4803825444001868,0.0,,nan,nan,nan,nan,uncertainty_gated
270.97,0.9091593916224591,1.4804901829127166,0.0,,nan,nan,nan,nan,uncertainty_gated
270.98,0.9093558621228515,1.4805965994969608,0.0,,nan,nan,nan,nan,uncertainty_gated
270.99,0.9095483862094152,1.4807046025944022,0.0,,nan,nan,nan,nan,uncertainty_gated
271.0,0.9548933082350516,1.4805601867889258,0.0,,nan,nan,nan,nan,uncertainty_gated
271.01,0.9551518742716173,1.4806677071044096,0.0,,nan,nan,nan,nan,uncertainty_gated
271.02,0.9554354905603983,1.480774005870003,0.0,,nan,nan,nan,nan,uncertainty_gated
271.03000000000003,0.9556955103419866,1.4808818902058423,0.0,,nan,nan,nan,nan,uncertainty_gated
271.04,0.9559761131483582,1.4809899711239483,0.0,,nan,nan,nan,nan,uncertainty_gated
271.05,0.9482786789664166,1.4808467868422557,0.0,,nan,nan,nan,nan,uncertainty_gated
271.06,0.9485444247645488,1.4809528816030388,0.0,,nan,nan,nan,nan,uncertainty_gated
271.07,0.9487972179194063,1.4810606736201628,0.0,,nan,nan,nan,nan,uncertainty_gated
